Name,Origin,Domain/Aspect,Type,Alliance,Alignment,Faithlight,Total_Kharma,Cleric_Start_Kharma,Cycle_Origin,Recruitment_Risk_%,Role/Function,Notes
The Lamb of God,Earth - Abrahamic,Sacrifice / Renewal / Love,Deity,Order of Flame,LG,10,10000,350,1,5,Singularity Avatar,Clerics wield immense restorative Kharma; Tower is wary of his independent influence.
Athena,Greek,Wisdom / Strategy,Deity,Order of Flame,LN,9,5200,250,2,15,Strategic Preserver,"Backs disciplined, just leadership; opposes reckless divine war."
Pelor,Eberron/FR Adap.,Sun / Healing,Deity,Order of Flame,NG,9,6800,300,3,10,Sun Father,"Highly accessible patron; steady regen, strong for healing orders."
Ra,Egyptian,Sun / Kingship,Deity,Order of Flame,LN,8,6000,280,2,18,Solar Judge,Demands order and reverence; harsh on apostasy.
Amaterasu,Shinto,Sun / Purity,Deity,Order of Flame,NG,8,5500,260,3,12,Radiant Matron,Rewards sincerity and ritual purity; sensitive to desecration.
Thesaurus,Tower Original,Archives / Story / Memory,Deity,Script of Thought,LN,9,9000,320,1,25,Supreme Archivist,Trades power for exceptional narratives; key Tower interface.
Oghma,Fae?ru?nian,Knowledge / Inspiration,Deity,Script of Thought,N,8,4800,220,3,15,Binder of Knowledge,Stable lore patron; low corruption risk.
Ioun,Multiversal,Lore / Secrets,Deity,Script of Thought,NG,8,4300,210,4,20,Seer of Threads,Grants deep insight; risk of dangerous truths.
Mystra,Fae?ru?nian,Magic / Weave,Deity,Script of Thought,NG,9,7500,320,5,30,Weave Sovereign,High-impact arcane patron; politically entangled.
Boccob,Greyhawk,Magic / Balance,Deity,Script of Thought,N,7,4200,200,2,35,Uncaring Magus,Reliable but emotionally distant; cares for magic over mortals.
Sindri,Tower Original,Forge / Accord,Semi-Divine,Forge of Flesh,LN,8,7000,300,3,40,Architect of Accord,Seeks ordered synthesis; suspicious of chaos and excess.
Gond,Fae?ru?nian,Craft / Invention,Deity,Forge of Flesh,N,7,3600,180,4,20,Wonderbringer,Boosts tech/artifice; may escalate Tower scrutiny.
Onatar,Eberron,Forge / Warforged,Deity,Forge of Flesh,NG,7,3400,170,4,25,Shaper of Steel,Ideal for construct-heavy or industrial cultures.
Primus,Planar,Law / Mechanus,Primordial,Forge of Flesh,LN,8,8000,260,2,70,Perfect Order,Massive power; extreme risk of subsuming free will.
Hephaestus,Greek,Forge / Craft,Deity,Forge of Flesh,NG,6,3000,160,2,10,Maker of Gifts,Supportive artisan patron; modest Kharma demands.
Culinary Council,Tower Original,Consumption / Experience,Collective,Feast of Want,NE,8,6500,260,3,60,Gourmet Assembly,Elegant predators; trade miracles for unique experiences.
Dionysus,Greek,Wine / Ecstasy,Deity,Feast of Want,CN,7,3800,190,2,35,Lord of Excess,Great for high-chaos stories; can destabilize parties.
Demeter,Greek,Harvest,Deity,Feast of Want,NG,7,4000,200,2,15,Matron of Grain,Resource-stability patron; supports communities.
Asmodeus,Planar,Contracts / Tyranny,Archdevil,Feast of Want,LE,9,9000,500,1,85,Lord of Deals,Huge Kharma pool; near-certain moral corrosion.
Mammon,Planar,Greed,Archdevil,Feast of Want,LE,8,6000,260,2,80,Golden Maw,Offers wealth and influence; devours integrity.
Loki (Tower Aspect),Norse/Tower,Trickery / Paradox,Deity,Voice of Lies,CN,8,8700,400,3,75,Mirror Sovereign,Actively plays both Tower and gods; heavy betrayal risk.
Mask,Fae?ru?nian,Shadows / Thieves,Deity,Voice of Lies,CN,7,3200,150,4,45,Lord of Hidden Hands,Ideal rogue patron; thrives in moral gray.
The Traveler,Eberron,Change / Chaos,Deity,Voice of Lies,CN,7,3500,180,4,55,Shifter of Paths,Excellent for transformational arcs; destabilizes norms.
Leira,Fae?ru?nian,Illusion,Deity,Voice of Lies,CN,6,2600,140,5,40,Mist of Truths,Obfuscation cults; great for espionage campaigns.
Anansi,African,Stories / Trickery,Deity,Voice of Lies,CN,7,3000,160,3,35,Webspinner,Playful manipulator; encourages clever nonviolent solutions.
Heracles,Greek,Hero,Order of Flame,Ascended,120,1500,7,85,Mentor,Embodies strength-through-trial; good template for mythic champions.,,
Beowulf,Anglo-Saxon,Hero,Order of Flame,Recycled,80,900,6,70,Recruitable,Monster-slayer echo; ideal for martial recruitment quests.,,
Joan of Arc,Earth - Medieval,Martyr,Order of Flame,Ascended,150,1300,8,90,Mentor,Symbol of conviction; great moral compass NPC.,,
Elminster,Fae?ru?nian,Archmage,Script of Thought,Alive,140,1600,7,95,Mentor,Meta-aware wizard; bridges settings and hints at Tower truth.,,
Raistlin Majere,Dragonlance,Antihero,Script of Thought,Recycled,60,700,5,60,Rival,Dark mirror of selfish ascension; warns against abusing Kharma.,,
Drizzt Do'Urden,Fae?ru?nian,Hero,Order of Flame,Alive,110,1200,7,90,Recruitable,Champion of conscience; perfect ally in morally gray floors.,,
Arturia Pendragon,Myth/Alt,Hero/King,Order of Flame,Ascended,130,1400,7,88,Mentor,Idealized ruler archetype; tests worthiness and leadership.,,
Cú Chulainn,Celtic,Hero,Order of Flame,Recycled,90,1000,6,75,Recruitable,Tragic berserker; powerful ally with self-destructive edge.,,
Adventurers' Guild Leader,Tower Original,Hollow,Script of Thought,Hollow,50,400,4,20,Exposition,Reached Floor 99; memories stripped; subtle guide to Tower costs.,,
Captain of the Ashen Guard,Tower Original,Hollow Warrior,Order of Flame,Hollow,40,350,4,25,Guardian,Echo of a once-great defender; stands watch at critical thresholds.,,
Zeus,Greek,Sky / Law / Thunder,Deity,Order of Flame,LN,8,7500,280,2,20,High Arbiter,Patriarchal authority; stable but prone to hubris scandals.
Heimdall,Norse,Guardianship / Watchfulness,Deity,Order of Flame,LG,7,4200,210,3,12,Gatekeeper of Dawn,Ideal protector patron; vigilant but rigid.
Brigit,Celtic,Hearth / Poetry / Craft,Deity,Order of Flame,NG,8,5200,250,2,8,Hearthmother,Balances nurturing and militant faith.
Tyr,Norse,Justice / Courage,Deity,Order of Flame,LG,8,6100,270,3,10,Right Hand of Order,Favored by paladins; moderate corruption immunity.
Sol Invictus,Roman,Victory / Sun,Deity,Order of Flame,LN,9,6800,300,4,18,Unconquered Sun,Thrives on triumphal worship; falters with despair.
Seshat,Egyptian,Writing / Architecture,Deity,Script of Thought,NG,7,4000,190,3,10,Builder of Words,Loves builders and scribes; precise contracts.
Vecna,Fae?ru?nian,Secrets / Undeath,Lich-God,Script of Thought,NE,8,8800,400,1,90,The Whispered One,Tempts with forbidden lore; high betrayal odds.
Savras,Fae?ru?nian,Divination / Fate,Deity,Script of Thought,N,6,3100,150,3,25,The Seer,Prophetic clarity for dangerous insight checks.
Hermes,Greek,Language / Travel,Deity,Script of Thought,CN,7,3300,160,2,30,Messenger Prime,Patron of diplomats and tricksters; dual allegiance risk.
Thoth,Egyptian,Wisdom / Judgment,Deity,Script of Thought,LN,8,5700,230,2,15,Measurer of Truth,Balancing intellect and ethics; strong synergy with Thesaurus.
Moradin,Dwarven,Forge / Family,Deity,Forge of Flesh,LG,8,6000,260,3,12,All-Father Smith,Supports dwarves and makers; slow Kharma drift.
Reorx,Dragonlance,Forge / Souls,Deity,Forge of Flesh,LG,7,4800,220,3,18,Soulforger,Crafts living constructs; neutral toward Tower.
Primordial Forge-Spirit IX,Tower Original,Artifice / Fusion,Machine God,Forge of Flesh,N,9,9500,400,5,65,Omni-Smith,Hyper-intelligent foundry spirit; nearly mechanical devotion.
Clangeddin Silverbeard,Dwarven,War / Valor,Deity,Forge of Flesh,LG,7,4400,210,2,20,Steel Champion,Blesses defenders; excellent martial patron.
Aureon,Eberron,Law / Magic,Deity,Forge of Flesh,LN,8,5200,250,4,30,Arcane Lawgiver,Upholds magical regulation; aligns with Mechanus ideals.
Sune,Fae?ru?nian,Love / Beauty,Deity,Feast of Want,CG,8,5300,250,3,20,Radiant Muse,Feeds on admiration; thrives in social intrigue campaigns.
Sharess,Fae?ru?nian,Passion / Pleasure,Deity,Feast of Want,CG,8,5100,240,3,25,The Velvet Paw,Indulgent yet empathetic; can over-empower lust cults.
Lolth,Fae?ru?nian,Spiders / Deceit,Goddess,Feast of Want,CE,9,8000,380,1,95,Queen of Webs,Predatory seduction; immediate moral collapse risk.
Tymora,Fae?ru?nian,Luck / Fortune,Deity,Feast of Want,CG,7,4200,210,3,18,Lady Luck,Volatile patron; boosts gambling-themed play.
Hades,Greek,Underworld / Wealth,Deity,Feast of Want,LN,8,6200,260,2,25,Silent King,Guardian of balance; consumes greed into order.
Eris,Greek,Discord / Change,Goddess,Voice of Lies,CN,8,5000,230,3,60,Mistress of Upheaval,Thrives on social instability; supports chaotic re-rolls.
Zehir,Fae?ru?nian,Poison / Night,Deity,Voice of Lies,LE,8,6400,250,2,75,Serpent Father,Deadly but predictable; encourages stealth strategies.
Coyote,Native American,Trickery / Lessons,Spirit,Voice of Lies,CN,7,3000,160,3,35,The Laughing One,Good-natured mischief; low corruption risk.
The Mirror Choir,Tower Original,Illusion / Reflection,Collective,Voice of Lies,CN,9,9200,370,4,70,Chorus of Echoes,Sings false hymns; used by Tower to confuse gods.
Raven Queen,Fae?ru?nian Adapted,Death / Memory,Deity,Voice of Lies,NN,8,7000,280,3,50,Mistress of Endings,Grants beautiful funerals; withholds resurrection secrets.
Gilgamesh,Sumerian,Hero-King,Order of Flame,Ascended,180,1600,8,88,Mentor,Oldest recorded hero; represents endurance and loss.,,
Achilles,Greek,Champion,Order of Flame,Recycled,90,1200,6,75,Rival,Unyielding warrior; refuses immortality.,,
Sigurd,Norse,Dragonslayer,Order of Flame,Ascended,120,1300,7,85,Mentor,Slayer archetype; good mythic bond arc.,,
Rama,Hindu,Prince-Hero,Order of Flame,Ascended,200,1800,8,92,Mentor,Embodiment of righteous duty; ideal for paladin templates.,,
Arjuna,Hindu,Marksman,Order of Flame,Ascended,160,1500,8,88,Mentor,Perfect archer; Kharma-dense saintly lineage.,,
Merlin,Arthurian,Wizard,Script of Thought,Recycled,110,1000,7,80,Mentor,Manipulates prophecy; blurs free will.,,
Daedalus,Greek,Inventor,Forge of Flesh,Recycled,90,900,6,70,Recruitable,Master craftsman; potential ally for artificers.,,
Mephistopheles,Medieval Legend,Scholar / Tempter,Feast of Want,Alive,130,1200,7,85,Rival,Deals in Kharma exchanges; teaches dangerous miracles.,,
Robin Hood,English Legend,Trickster Hero,Voice of Lies,Alive,100,900,7,80,Recruitable,Champion of redistribution; low corruption chance.,,
Amara of Glass,Tower Original,Chronicle Hero,Script of Thought,Alive,90,1000,7,88,Recruitable,Immortal witness who records yet refuses ascension.,,
Michael the Radiant,Abrahamic,Judgment / War,Archangel,Order of Flame,LG,9,8700,340,1,15,Heaven’s Spear,Direct enemy of Tower voidspawn; anti-corruption aura.
Gabriel the Herald,Abrahamic,Revelation / Prophecy,Archangel,Order of Flame,LG,8,7600,300,1,20,Voice of Trumpets,Conduit for divine messages; limited autonomy.
